year,journal,doi,arxiv number,primary arxiv category,total number of authors,total number of ORCIDs linked to the authors,total number of affiliations,total number of ROR linked with the affiliations,"total number of related materials, type dataset","total number of related materials, type software"
2024,European Physical Journal C,10.1140/epjc/s10052-024-13361-w,,,2,0,4,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP10(2024)012,2407.01666,hep-th,3,0,3,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP10(2024)001,2403.20102,hep-th,3,0,6,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP10(2024)010,2311.04130,hep-th,1,0,1,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP10(2024)005,2406.14770,hep-th,5,0,5,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP10(2024)011,2405.05341,hep-th,2,0,2,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP10(2024)025,2406.02667,hep-ph,4,0,4,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP10(2024)029,2403.07140,hep-th,2,0,2,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13313-4,,,2,0,2,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP10(2024)020,2404.15233,hep-th,2,0,3,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP10(2024)017,2402.16940,hep-ph,2,0,3,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP10(2024)038,2312.16833,hep-th,1,0,1,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP10(2024)037,2405.09289,hep-th,3,0,3,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP10(2024)036,2404.08083,hep-th,2,0,2,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP10(2024)019,2407.19730,hep-ph,5,0,5,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP10(2024)044,2406.01328,hep-th,2,0,4,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP10(2024)050,2408.08517,hep-th,2,0,2,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP10(2024)051,2405.01647,hep-th,3,0,4,0,0,0
2024,Journal of High Energy Physics,10.1007/JHEP10(2024)008,2403.20303,hep-ph,2,0,2,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13409-x,,,3,0,3,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13383-4,2404.12194,gr-qc,4,0,6,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13390-5,,,4,0,6,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13422-0,,,3,0,6,0,0,0
2024,European Physical Journal C,10.1140/epjc/s10052-024-13434-w,,,4,0,4,0,0,0
